Metric		Current
VERY_HIGH_RISK_FILE_SIZE_LOC		0
NUMBER_OF_UNITS		24
LINES_OF_CODE_IN_UNITS		520
LINES_OF_CODE_OUTSIDE_UNITS		819
UNIT_SIZE_NEGLIGIBLE_RISK_LOC		57
UNIT_SIZE_NEGLIGIBLE_RISK_PERCENTAGE		10.96
UNIT_SIZE_NEGLIGIBLE_RISK_COUNT		10
UNIT_SIZE_LOW_RISK_LOC		68
UNIT_SIZE_LOW_RISK_PERCENTAGE		13.08
UNIT_SIZE_LOW_RISK_COUNT		5
UNIT_SIZE_MEDIUM_RISK_LOC		203
UNIT_SIZE_MEDIUM_RISK_PERCENTAGE		39.04
UNIT_SIZE_MEDIUM_RISK_COUNT		6
UNIT_SIZE_HIGH_RISK_LOC		192
UNIT_SIZE_HIGH_RISK_PERCENTAGE		36.92
UNIT_SIZE_HIGH_RISK_COUNT		3
UNIT_SIZE_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_COMPONENTS_NEGLIGIBLE_RISK_LOC		20
UNIT_SIZE_COMPONENT_COMPONENTS_NEGLIGIBLE_RISK_PERCENTAGE		5.01
UNIT_SIZE_COMPONENT_COMPONENTS_NEGLIGIBLE_RISK_COUNT		4
UNIT_SIZE_COMPONENT_COMPONENTS_LOW_RISK_LOC		46
UNIT_SIZE_COMPONENT_COMPONENTS_LOW_RISK_PERCENTAGE		11.53
UNIT_SIZE_COMPONENT_COMPONENTS_LOW_RISK_COUNT		3
UNIT_SIZE_COMPONENT_COMPONENTS_MEDIUM_RISK_LOC		141
UNIT_SIZE_COMPONENT_COMPONENTS_MEDIUM_RISK_PERCENTAGE		35.34
UNIT_SIZE_COMPONENT_COMPONENTS_MEDIUM_RISK_COUNT		4
UNIT_SIZE_COMPONENT_COMPONENTS_HIGH_RISK_LOC		192
UNIT_SIZE_COMPONENT_COMPONENTS_HIGH_RISK_PERCENTAGE		48.12
UNIT_SIZE_COMPONENT_COMPONENTS_HIGH_RISK_COUNT		3
UNIT_SIZE_COMPONENT_COMPONENTS_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_COMPONENTS_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_COMPONENTS_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_FEATURES_NEGLIGIBLE_RISK_LOC		16
UNIT_SIZE_COMPONENT_FEATURES_NEGLIGIBLE_RISK_PERCENTAGE		23.88
UNIT_SIZE_COMPONENT_FEATURES_NEGLIGIBLE_RISK_COUNT		2
UNIT_SIZE_COMPONENT_FEATURES_LOW_RISK_LOC		11
UNIT_SIZE_COMPONENT_FEATURES_LOW_RISK_PERCENTAGE		16.42
UNIT_SIZE_COMPONENT_FEATURES_LOW_RISK_COUNT		1
UNIT_SIZE_COMPONENT_FEATURES_MEDIUM_RISK_LOC		40
UNIT_SIZE_COMPONENT_FEATURES_MEDIUM_RISK_PERCENTAGE		59.7
UNIT_SIZE_COMPONENT_FEATURES_MEDIUM_RISK_COUNT		1
UNIT_SIZE_COMPONENT_FEATURES_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_FEATURES_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_FEATURES_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_FEATURES_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_FEATURES_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_FEATURES_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_SERVICES_NEGLIGIBLE_RISK_LOC		13
UNIT_SIZE_COMPONENT_SERVICES_NEGLIGIBLE_RISK_PERCENTAGE		54.17
UNIT_SIZE_COMPONENT_SERVICES_NEGLIGIBLE_RISK_COUNT		2
UNIT_SIZE_COMPONENT_SERVICES_LOW_RISK_LOC		11
UNIT_SIZE_COMPONENT_SERVICES_LOW_RISK_PERCENTAGE		45.83
